k,x,y
533,641,57
534,542,109
535,684,363
536,788,752
537,556,88
538,336,370
539,393,667
540,777,503
541,558,207
542,410,528
543,240,227
544,49,259
545,382,121
546,488,395
547,778,715
548,710,59
549,613,204
550,563,540
551,618,387
552,335,730
553,155,69
554,346,504
555,279,296
556,427,792
557,354,609
558,742,689
559,521,764
560,248,90
561,681,177
562,402,403
563,443,744
564,248,167
565,293,175
566,347,319
567,680,718
568,641,632
569,281,333
570,245,520
571,566,776
572,189,137
573,31,826
574,355,271
575,562,760
576,144,599
577,430,760
578,328,540
579,554,314
580,85,238
581,136,280
582,648,515
583,134,408
584,356,50
585,1,532
586,218,338
587,728,35
588,756,364
589,605,579
590,599,82
591,167,141
592,753,179
593,524,253
594,331,639
595,494,751
596,169,136
597,257,423
598,54,435
599,339,771
600,115,77
601,563,83
602,293,676
603,710,127
604,489,220
605,730,271
606,688,366
607,381,726
608,88,627
609,78,689
610,610,663
611,362,655
612,431,170
613,168,540
614,98,249
615,510,27
616,529,634
617,607,182
618,618,535
619,550,213
620,324,566
621,627,811
622,70,46
623,666,518
624,412,282
625,678,773
626,245,246
627,159,255
628,253,382
629,204,216
630,44,589
631,442,614
632,360,178
633,203,413
634,626,416
635,34,655
636,225,8
637,439,250
638,196,106
639,741,149
640,670,168
641,126,641
642,133,180
643,517,181
644,181,491
645,801,491
646,672,336
647,39,357
648,557,343
649,188,65
650,747,83
651,216,378
652,624,386
653,243,748
654,645,135
655,356,223
656,54,113
657,153,297
658,664,81
659,559,621
660,749,617
661,602,81
662,497,183
663,676,132
664,173,775
665,601,426
666,154,628
667,369,174
668,84,511
669,323,171
670,454,183
671,272,516
672,222,34
673,320,798
674,412,85
675,0,627
676,304,637
677,596,527
678,490,546
679,516,464
680,422,573
681,449,231
682,655,691
683,412,676
684,131,391
685,241,664
686,175,409
687,460,77
688,635,120
689,472,191
690,41,646
691,587,348
692,632,123
693,217,163
694,589,676
695,753,595
696,591,509
697,789,359
698,529,165
699,817,100
700,291,749
701,751,92
702,432,612
703,210,22
704,767,388
705,659,271
706,531,449
707,655,266
708,661,318
709,505,207
710,42,388
711,658,737
712,359,239
713,600,279
714,209,329
715,94,420
716,236,96
717,243,355
718,63,428
719,599,758
720,763,166
721,654,771
722,235,212
723,265,155
724,383,73
725,509,379
726,730,110
727,391,774
728,126,498
729,311,144
730,798,809
731,492,114
732,50,178
733,129,461
734,53,426
735,10,416
736,476,360
737,480,19
738,781,578
739,95,314
740,179,666
741,12,4
742,640,394
743,107,726
744,185,410
745,641,720
746,673,115
747,629,633
748,460,395
749,14,238
750,536,427
751,90,280
752,629,38
753,323,33
754,100,4
755,628,773
756,323,235
757,649,400
758,88,250
759,261,264
760,416,464
761,307,199
762,586,453
763,24,232
764,265,262
765,368,392
766,78,180
767,474,199
768,65,457
769,250,15
770,276,329
771,791,317
772,336,679
773,385,233
774,406,156
775,437,202
776,193,164
777,788,647
778,748,479
779,552,464
780,646,512
781,178,703
782,375,127
783,177,388
784,225,774
785,33,436
786,803,544
787,77,126
788,174,678
789,612,2
790,275,772
791,531,294
792,455,353
793,99,785
794,815,14
795,568,213
796,243,294
797,348,655
798,485,649
799,463,143
800,551,662
801,140,479
802,118,130
803,642,690
804,735,179
805,553,742
806,277,472
807,286,508
808,280,343
809,397,161
810,652,807
811,215,78
812,334,90
813,718,734
814,584,669
815,284,551
816,398,443
817,224,435
818,151,4
819,500,214
820,425,687
821,93,760
822,123,649
823,88,621
824,658,67
825,180,105
826,803,513
827,81,478
