x,y
802,710
803,368
803,459
804,277
804,550
805,23
805,804
806,202
806,625
810,379
810,448
811,140
811,687
813,298
813,529
815,37
815,790
817,245
817,582
820,275
820,552
821,74
821,753
823,99
823,728
824,237
824,590
825,307
825,520
