x,y
1,50
1,777
2,135
2,692
5,126
5,701
6,206
6,621
12,180
12,647
13,131
13,696
17,7
17,820
21,44
21,783
27,195
27,632
30,149
30,678
36,240
36,587
37,258
37,569
38,321
38,506
39,195
39,632
40,233
40,594
46,115
46,712
47,359
47,468
48,41
48,786
53,78
53,749
54,38
54,789
55,381
55,446
56,312
56,515
57,123
57,704
58,123
58,704
59,114
59,713
62,250
62,577
63,131
63,696
64,185
64,642
67,292
67,535
73,201
73,626
74,176
74,651
75,321
75,506
76,349
76,478
79,47
79,780
84,225
84,602
85,119
85,708
86,62
86,765
90,7
90,820
92,323
92,504
94,390
94,437
96,402
96,425
97,126
97,701
101,176
101,651
102,211
102,616
103,64
103,763
104,209
104,618
105,401
105,426
106,320
106,507
110,191
110,636
111,120
111,707
112,294
112,533
113,130
113,697
115,188
115,639
116,374
116,453
117,97
117,730
119,120
119,707
120,314
120,513
122,93
122,734
124,43
124,784
125,400
125,427
128,369
128,458
130,18
130,809
135,334
135,493
137,9
137,818
141,183
141,644
142,42
142,785
143,75
143,752
144,326
144,501
147,345
147,482
148,201
148,626
150,184
150,643
151,357
151,470
152,97
152,730
156,79
156,748
159,84
159,743
161,318
161,509
163,24
163,803
164,353
164,474
165,149
165,678
167,340
167,487
172,160
172,667
174,65
174,762
175,192
175,635
176,178
176,649
177,210
177,617
180,387
180,440
182,63
182,764
184,274
184,553
185,116
185,711
186,299
186,528
187,187
187,640
190,122
190,705
191,240
191,587
194,28
194,799
195,158
195,669
196,39
196,788
199,404
199,423
200,179
200,648
201,397
201,430
204,367
204,460
207,400
207,427
209,261
209,566
210,124
210,703
211,405
211,422
212,98
212,729
213,156
213,671
214,48
214,779
216,77
216,750
218,320
218,507
220,63
220,764
222,31
222,796
223,25
223,802
225,271
225,556
227,142
227,685
231,404
231,423
232,146
232,681
234,395
234,432
236,161
236,666
237,356
237,471
241,42
241,785
242,312
242,515
243,135
243,692
244,82
244,745
245,219
245,608
248,318
248,509
249,288
249,539
251,25
251,802
260,227
260,600
264,291
264,536
267,79
267,748
268,168
268,659
270,223
270,604
272,249
272,578
273,236
273,591
274,121
274,706
275,319
275,508
276,355
276,472
279,278
279,549
280,107
280,720
281,72
281,755
287,27
287,800
290,140
290,687
293,309
293,518
294,28
294,799
295,250
295,577
296,44
296,783
300,160
300,667
301,84
301,743
306,406
306,421
308,129
308,698
310,367
310,460
311,341
311,486
313,367
313,460
314,53
314,774
315,150
315,677
316,384
316,443
319,322
319,505
321,208
321,619
322,409
322,418
323,151
323,676
324,234
324,593
331,95
331,732
334,344
334,483
336,206
336,621
337,8
337,819
338,408
338,419
339,28
339,799
340,132
340,695
348,45
348,782
349,175
349,652
350,11
350,816
351,280
351,547
352,1
352,826
353,25
353,802
355,160
355,667
357,362
357,465
358,328
358,499
360,323
360,504
361,287
361,540
363,78
363,749
365,62
365,765
367,84
367,743
370,212
370,615
371,16
371,811
372,307
372,520
375,323
375,504
376,62
376,765
378,103
378,724
379,284
379,543
380,366
380,461
383,111
383,716
385,143
385,684
386,300
386,527
388,19
388,808
390,153
390,674
391,35
391,792
392,238
392,589
393,17
393,810
397,404
397,423
402,385
402,442
403,197
403,630
404,79
404,748
406,22
406,805
407,4
407,823
409,368
409,459
410,58
410,769
411,78
411,749
412,255
412,572
414,96
414,731
418,318
418,509
420,254
420,573
422,40
422,787
423,305
423,522
424,108
424,719
425,63
425,764
426,89
426,738
430,224
430,603
433,358
433,469
435,370
435,457
441,13
441,814
444,42
444,785
447,182
447,645
448,127
448,700
449,310
449,517
451,403
451,424
453,190
453,637
454,134
454,693
458,307
458,520
459,36
459,791
460,61
460,766
462,403
462,424
463,17
463,810
465,109
465,718
466,342
466,485
468,134
468,693
470,250
470,577
474,264
474,563
475,5
475,822
476,241
476,586
477,199
477,628
478,0
479,361
479,466
483,80
483,747
485,206
485,621
486,383
486,444
488,232
488,595
489,316
489,511
490,311
490,516
495,400
495,427
497,136
497,691
503,320
503,507
504,272
504,555
505,69
505,758
508,55
508,772
510,44
510,783
515,67
515,760
520,70
520,757
522,332
522,495
525,80
525,747
526,61
526,766
529,312
529,515
532,362
532,465
533,232
533,595
535,296
535,531
536,189
536,638
537,105
537,722
538,136
538,691
539,384
539,443
540,270
540,557
541,265
541,562
542,341
542,486
548,102
548,725
550,407
550,420
554,94
554,733
556,313
556,514
558,97
558,730
559,49
559,778
560,305
560,522
561,147
561,680
562,107
562,720
564,336
564,491
565,35
565,792
567,167
567,660
568,3
568,824
572,73
572,754
574,354
574,473
575,26
575,801
576,264
576,563
577,95
577,732
578,85
578,742
579,368
579,459
580,249
580,578
581,53
581,774
582,135
582,692
584,219
584,608
586,111
586,716
588,392
588,435
589,282
589,545
593,200
593,627
596,224
596,603
597,120
597,707
598,20
598,807
599,125
599,702
600,240
600,587
601,393
601,434
604,264
604,563
606,201
606,626
607,385
607,442
609,234
609,593
610,352
610,475
611,391
611,436
612,363
612,464
613,256
613,571
617,401
617,426
619,136
619,691
622,309
622,518
624,253
624,574
626,196
626,631
628,224
628,603
629,98
629,729
632,149
632,678
633,232
633,595
