x,y
636,142
636,685
639,59
639,768
641,57
641,770
642,226
642,601
643,413
643,414
644,198
644,629
645,385
645,442
646,80
646,747
652,176
652,651
654,163
654,664
656,235
656,592
657,32
657,795
658,218
658,609
662,158
662,669
664,101
664,726
665,223
665,604
666,368
666,459
667,150
667,677
668,61
668,766
669,263
669,564
670,110
670,717
671,305
671,522
672,150
672,677
673,271
673,556
674,187
674,640
682,172
682,655
683,231
683,596
684,295
684,532
685,111
685,716
687,87
687,740
689,161
689,666
690,81
690,746
694,156
694,671
695,273
695,554
697,23
697,804
698,35
698,792
700,88
700,739
704,82
704,745
706,82
706,745
711,215
711,612
712,123
712,704
713,228
713,599
714,321
714,506
717,237
717,590
719,223
719,604
720,7
720,820
721,234
721,593
722,124
722,703
723,364
723,463
724,104
724,723
725,126
725,701
726,192
726,635
727,314
727,513
729,161
729,666
730,211
730,616
731,74
731,753
732,134
732,693
733,259
733,568
734,186
734,641
738,388
738,439
739,309
739,518
740,92
740,735
741,403
741,424
743,205
743,622
745,128
745,699
746,95
746,732
747,156
747,671
749,325
749,502
751,131
751,696
752,130
752,697
753,192
753,635
755,412
755,415
756,271
756,556
759,53
759,774
761,195
761,632
764,349
764,478
765,362
765,465
768,33
768,794
769,188
769,639
770,188
770,639
772,399
772,428
780,173
780,654
781,141
781,686
783,38
783,789
785,246
785,581
789,130
789,697
791,142
791,685
793,187
793,640
796,157
796,670
797,158
797,669
798,17
798,810
799,384
799,443
801,341
801,486
802,249
802,578
804,386
804,441
807,314
807,513
808,380
808,447
811,230
811,597
812,107
812,720
813,98
813,729
814,349
814,478
816,202
816,625
817,38
817,789
820,46
820,781
822,211
822,616
824,307
824,520
825,219
825,608
