k,x,y
1,19,42
2,108,87
3,62,39
4,98,123
5,57,38
6,0,83
7,43,90
8,69,112
9,107,38
10,38,57
11,27,72
12,103,24
13,99,84
14,90,89
15,33,65
16,125,56
17,54,66
18,92,93
19,80,65
20,72,90
21,88,92
22,89,49
23,66,93
24,61,7
25,23,46
26,86,18
27,12,37
28,68,50
29,77,117
30,91,97
31,18,84
32,76,66
33,105,2
34,14,62
35,110,68
36,24,11
37,31,7
38,37,74
39,82,100
40,20,74
41,96,34
42,112,126
43,21,75
44,10,43
45,40,45
46,11,68
47,52,97
48,87,14
49,124,61
50,6,68
51,106,5
52,15,76
53,70,74
54,111,97
55,85,98
56,32,124
57,97,101
58,49,33
59,101,8
60,114,112
61,35,120
62,67,105
63,71,112
64,39,19
65,30,104
66,30,23
67,39,108
68,71,15
69,67,22
70,35,7
71,114,15
72,101,119
73,49,94
74,97,26
75,32,3
76,85,29
77,111,30
78,70,53
79,15,51
80,106,122
81,6,59
82,124,66
83,87,113
84,52,30
85,11,59
86,40,82
87,10,84
88,21,52
89,112,1
90,96,93
91,20,53
92,82,27
93,37,53
94,31,120
95,24,116
96,110,59
97,14,65
98,105,125
99,76,61
100,18,43
101,91,30
102,77,10
103,68,77
104,12,90
105,86,109
106,23,81
107,61,120
108,66,34
109,89,78
110,88,35
111,72,37
112,80,62
113,92,34
114,54,61
115,125,71
116,33,62
117,90,38
118,99,43
119,103,103
120,27,55
121,38,70
122,107,89
123,69,15
124,43,37
125,0,44
126,57,89
127,98,4
128,62,88
129,108,40
130,19,85
131,infinite,infinite
